module,analysis,expected_OR,expected_CI_low,expected_CI_high,expected_I2
smoking_extended,CORE0_ON_SMOKING_OBSERVED_SAMPLE | A_ANY_LIMITATION,1.157431,1.095217,1.223179,23.3049
smoking_extended,CORE0_PLUS_CURRENT_SMOKING | A_ANY_LIMITATION,1.138014,1.060989,1.220631,43.7225
smoking_extended,COHORT_SPECIFIC_EXTENDED_RELIABLE | A_ANY_LIMITATION,1.120648,1.039324,1.208337,51.7355
smoking_extended,COHORT_SPECIFIC_EXTENDED_RELIABLE | SEVERE_VS_INDEPENDENT,1.220599,1.102938,1.350812,53.8400
smoking_extended,COHORT_SPECIFIC_EXTENDED_RELIABLE | SEVERE_VS_MILD,1.157022,1.042612,1.283987,15.1169
low_count,A_ANY_LIMITATION | 1 vs 0,1.251900,1.092311,1.434805,0
low_count,A_ANY_LIMITATION | 2 vs 0,1.542527,1.177486,2.020738,35.1785
low_count,A_ANY_LIMITATION | per +1 low occasion,1.245733,1.111824,1.395769,37.0049
low_count,SEVERE_VS_INDEPENDENT | 1 vs 0,1.488079,1.227783,1.803558,0
low_count,SEVERE_VS_INDEPENDENT | 2 vs 0,2.035399,1.477556,2.803854,16.7049
low_count,SEVERE_VS_INDEPENDENT | per +1 low occasion,1.441822,1.274719,1.630831,0
low_count,SEVERE_VS_MILD | 2 vs 0,1.562512,1.081419,2.257629,0
low_count,SEVERE_VS_MILD | per +1 low occasion,1.280396,1.095573,1.496399,0
alternative_outcome,SEVERE_VS_ALL_NONSEVERE,1.257469,1.168583,1.353116,15.9804
ipw,IPW_FOR_OBSERVATION_ANY_LIMITATION,1.155541,1.095564,1.218801,24.9879
ipw,IPW_FOR_OBSERVATION_SEVERE_VS_NONSEVERE,1.250390,1.170175,1.336104,0
ipw,IPW_FOR_OBSERVATION_SEVERE_VS_MILD,1.165824,1.053413,1.290231,24.0666
strict_outcome,STRICT_GE2_ADL_IADL_DETERIORATION,1.273087,1.145324,1.415101,71.3868
